,start_time,end_time,wav_file,emotion,val,act,dom
0,6.2901,8.2357,Ses01F_impro01_F000,neu,2.5,2.5,2.5
1,10.01,11.3925,Ses01F_impro01_F001,neu,2.5,2.5,2.5
2,14.8872,18.0175,Ses01F_impro01_F002,neu,2.5,2.5,2.5
3,19.29,20.7875,Ses01F_impro01_F003,xxx,2.5,3.0,3.0
4,21.3257,24.74,Ses01F_impro01_F004,xxx,2.5,3.0,2.5
5,27.46,31.49,Ses01F_impro01_F005,neu,2.5,3.5,2.0
6,38.965,43.59,Ses01F_impro01_F006,fru,2.0,3.5,3.5
7,46.58,52.19,Ses01F_impro01_F007,fru,2.5,3.5,3.5
8,56.16,58.8225,Ses01F_impro01_F008,fru,2.0,3.5,3.5
9,61.87,65.97,Ses01F_impro01_F009,fru,2.0,3.5,3.0
10,66.42,69.34,Ses01F_impro01_F010,xxx,1.5,3.5,3.5
11,72.45,82.26,Ses01F_impro01_F011,fru,2.0,3.5,3.5
12,85.27,88.02,Ses01F_impro01_F012,ang,2.0,3.5,3.5
13,93.67,97.0218,Ses01F_impro01_F013,fru,2.0,4.0,3.5
14,97.89,102.96,Ses01F_impro01_F014,neu,2.5,3.5,3.5
15,103.97,106.71,Ses01F_impro01_F015,fru,2.0,3.5,3.0
16,7.5712,10.475,Ses01F_impro01_M000,fru,2.5,2.0,2.5
17,10.9266,14.6649,Ses01F_impro01_M001,fru,2.5,2.0,2.5
18,16.8352,19.7175,Ses01F_impro01_M002,fru,2.0,3.5,3.5
19,23.47,28.03,Ses01F_impro01_M003,fru,2.5,3.5,3.5
20,28.395,31.2117,Ses01F_impro01_M004,fru,2.0,4.0,3.5
21,31.266,39.3875,Ses01F_impro01_M005,fru,2.0,3.5,3.5
22,41.23,46.98,Ses01F_impro01_M006,fru,2.0,3.5,3.5
23,51.4,57.64,Ses01F_impro01_M007,fru,2.5,3.5,3.0
24,58.18,62.59,Ses01F_impro01_M008,fru,2.0,3.5,3.5
25,65.51,73.0,Ses01F_impro01_M009,fru,2.5,3.5,4.0
26,81.59,86.03,Ses01F_impro01_M010,fru,2.0,4.5,4.0
27,87.15,94.39,Ses01F_impro01_M011,ang,2.0,4.0,4.0
28,95.86,98.68,Ses01F_impro01_M012,xxx,3.0,1.5,2.0
29,101.84,107.87,Ses01F_impro01_M013,ang,2.0,4.5,4.5
30,7.2688,16.6,Ses01F_impro02_F000,sad,2.5,2.0,1.5
31,19.85,22.78,Ses01F_impro02_F001,sad,2.0,1.5,1.5
32,26.5659,32.2895,Ses01F_impro02_F002,sad,2.0,1.5,1.5
33,32.3075,37.96,Ses01F_impro02_F003,neu,2.0,2.0,2.0
34,47.34,53.11,Ses01F_impro02_F004,sad,2.5,2.0,2.5
35,58.75,61.31,Ses01F_impro02_F005,sad,2.0,2.0,2.5
36,64.255,68.47,Ses01F_impro02_F006,neu,2.5,2.5,2.5
37,72.39,78.57,Ses01F_impro02_F007,xxx,2.0,3.5,3.0
38,87.2031,91.09,Ses01F_impro02_F008,sad,1.5,2.0,1.5
39,91.55,95.88,Ses01F_impro02_F009,xxx,1.5,1.5,2.0
40,97.94,102.19,Ses01F_impro02_F010,sad,2.0,1.5,2.0
41,107.68,111.0153,Ses01F_impro02_F011,xxx,2.5,2.5,2.5
42,117.83,120.8605,Ses01F_impro02_F012,sad,3.5,2.0,1.5
43,127.82,133.9455,Ses01F_impro02_F013,sad,1.5,2.0,2.0
44,139.03,146.43,Ses01F_impro02_F014,sad,1.5,2.0,2.0
45,151.4221,155.01,Ses01F_impro02_F015,sad,2.0,2.5,2.5
46,163.54,165.73,Ses01F_impro02_F016,neu,2.0,1.0,2.5
47,169.36,176.015,Ses01F_impro02_F017,sad,3.5,3.0,2.5
48,176.08,179.13,Ses01F_impro02_F018,neu,2.5,2.5,2.5
49,182.83,185.8894,Ses01F_impro02_F019,sad,2.5,1.5,2.0
50,186.58,191.11,Ses01F_impro02_F020,sad,4.0,2.0,2.5
51,17.6,20.6264,Ses01F_impro02_M000,xxx,2.0,2.5,2.5
52,21.76,27.5558,Ses01F_impro02_M001,sad,2.0,2.5,2.5
53,38.85,45.09,Ses01F_impro02_M002,xxx,2.5,3.0,2.5
54,52.71,59.0534,Ses01F_impro02_M003,fru,2.0,3.0,3.0
55,61.75,65.055,Ses01F_impro02_M004,xxx,2.0,3.0,2.0
56,69.34,74.29,Ses01F_impro02_M005,sad,2.0,3.0,1.5
57,80.03,86.99,Ses01F_impro02_M006,xxx,2.0,3.0,1.5
58,103.27,107.1,Ses01F_impro02_M007,xxx,2.0,3.0,2.5
59,110.5653,113.2,Ses01F_impro02_M008,fru,2.5,1.5,2.0
60,114.1775,117.85,Ses01F_impro02_M009,sad,2.0,1.5,2.5
61,120.4105,124.63,Ses01F_impro02_M010,sad,2.0,2.0,1.5
62,133.88,137.1,Ses01F_impro02_M011,sad,2.5,1.5,2.5
63,147.03,151.7101,Ses01F_impro02_M012,neu,2.5,2.0,2.0
64,157.98,162.71,Ses01F_impro02_M013,sad,1.5,2.0,2.0
65,164.885,169.5,Ses01F_impro02_M014,sad,1.5,3.0,1.5
66,175.47,176.72,Ses01F_impro02_M015,neu,3.0,3.0,1.5
67,195.1047,199.52,Ses01F_impro02_M016,fru,2.0,1.5,2.5
68,4.88,7.74,Ses01F_impro03_F000,hap,4.3333,2.6667,2.6667
69,7.93,11.37,Ses01F_impro03_F001,hap,4.0,2.6667,2.6667
70,12.8,15.37,Ses01F_impro03_F002,hap,4.3333,3.0,2.3333
71,15.87,20.4867,Ses01F_impro03_F003,xxx,5.0,4.0,3.0
72,21.75,25.52,Ses01F_impro03_F004,hap,4.6667,3.6667,2.3333
73,25.5584,28.14,Ses01F_impro03_F005,hap,4.3333,4.0,2.3333
74,28.37,34.71,Ses01F_impro03_F006,hap,4.0,3.3333,2.6667
75,35.6349,40.1,Ses01F_impro03_F007,xxx,4.0,3.3333,2.3333
76,40.12,42.79,Ses01F_impro03_F008,hap,4.0,3.3333,2.3333
77,42.84,44.54,Ses01F_impro03_F009,hap,4.0,2.6667,2.3333
78,47.87,51.075,Ses01F_impro03_F010,hap,4.0,3.3333,3.0
79,51.36,53.4925,Ses01F_impro03_F011,xxx,4.0,3.0,2.3333
80,55.865,58.15,Ses01F_impro03_F012,hap,4.0,3.6667,2.6667
81,60.73,65.86,Ses01F_impro03_F013,hap,5.0,4.0,3.3333
