start_time,end_time,wav_file,emotion,val,act,dom
3.6132,6.17,Ses05F_impro01_F000,neu,4.0,2.5,3.0
14.15,19.49,Ses05F_impro01_F001,fru,2.5,3.0,3.0
22.85,26.9,Ses05F_impro01_F002,fru,2.5,3.0,3.5
29.98,34.46,Ses05F_impro01_F003,fru,2.5,3.0,3.0
39.48,42.18,Ses05F_impro01_F004,fru,2.5,3.5,3.0
42.84,45.78,Ses05F_impro01_F005,fru,2.5,3.5,3.0
46.82,53.74,Ses05F_impro01_F006,fru,2.0,3.5,4.0
58.28,65.33,Ses05F_impro01_F007,fru,2.0,3.5,4.0
65.34,69.58,Ses05F_impro01_F008,neu,2.0,3.5,3.5
74.06,76.68,Ses05F_impro01_F009,fru,1.5,3.0,3.5
86.89,88.5,Ses05F_impro01_F010,fru,1.5,3.5,3.5
88.52,91.5428,Ses05F_impro01_F011,fru,2.0,3.0,3.5
96.25,101.6,Ses05F_impro01_F012,fru,2.0,3.5,4.0
117.86,128.73,Ses05F_impro01_F013,fru,2.0,3.5,4.0
130.3,134.77,Ses05F_impro01_F014,fru,2.0,4.0,4.5
135.38,136.73,Ses05F_impro01_F015,fru,2.5,3.0,3.0
136.76,140.55,Ses05F_impro01_F016,fru,1.5,3.5,4.5
144.68,150.7,Ses05F_impro01_F017,ang,1.5,4.0,4.0
150.95,152.51,Ses05F_impro01_F018,ang,1.5,4.0,4.0
154.96,159.55,Ses05F_impro01_F019,fru,2.0,4.0,4.0
160.01,164.82,Ses05F_impro01_F020,ang,2.0,3.0,4.0
167.25,169.38,Ses05F_impro01_F021,fru,2.0,3.0,3.5
171.71,174.13,Ses05F_impro01_F022,fru,2.0,3.0,3.5
179.52,181.6059,Ses05F_impro01_F023,fru,2.0,3.0,2.5
5.78,14.78,Ses05F_impro01_M000,neu,2.5,2.5,4.0
17.64,24.16,Ses05F_impro01_M001,xxx,2.5,3.0,3.5
26.65,31.48,Ses05F_impro01_M002,xxx,2.0,3.0,3.5
34.11,40.88,Ses05F_impro01_M003,neu,2.0,4.0,3.5
41.11,44.39,Ses05F_impro01_M004,fru,2.0,4.0,4.0
44.42,48.16,Ses05F_impro01_M005,fru,2.0,4.0,4.0
52.11,59.09,Ses05F_impro01_M006,fru,2.0,3.5,4.5
67.69,69.34,Ses05F_impro01_M007,fru,2.0,3.0,3.0
69.37,74.36,Ses05F_impro01_M008,fru,2.0,4.0,4.0
76.16,87.3,Ses05F_impro01_M009,fru,1.5,3.5,4.0
87.6,89.6,Ses05F_impro01_M010,fru,2.5,3.5,3.5
91.31,99.88,Ses05F_impro01_M011,fru,1.5,3.5,4.5
100.52,110.6,Ses05F_impro01_M012,fru,1.5,4.0,4.5
111.08,118.47,Ses05F_impro01_M013,fru,1.5,4.0,4.5
127.97,131.11,Ses05F_impro01_M014,fru,2.0,4.0,4.0
132.11,135.5,Ses05F_impro01_M015,fru,2.0,3.5,4.0
135.54,140.0,Ses05F_impro01_M016,xxx,2.0,3.5,4.0
140.15,145.88,Ses05F_impro01_M017,fru,2.0,3.0,4.0
149.42,151.69,Ses05F_impro01_M018,fru,2.0,4.0,4.0
151.7151,157.73,Ses05F_impro01_M019,fru,2.5,4.0,4.0
158.43,161.22,Ses05F_impro01_M020,fru,2.0,3.5,3.5
163.35,167.67,Ses05F_impro01_M021,fru,2.0,3.5,4.0
168.59,170.81,Ses05F_impro01_M022,xxx,3.0,3.5,4.0
173.52,179.84,Ses05F_impro01_M023,fru,2.0,4.0,4.5
181.24,184.62,Ses05F_impro01_M024,xxx,4.0,3.5,3.5
5.17,7.6605,Ses05F_impro02_F000,xxx,2.0,2.0,2.0
12.3,14.48,Ses05F_impro02_F001,sad,2.0,1.5,1.5
19.0,24.66,Ses05F_impro02_F002,sad,2.0,2.5,1.5
24.7,28.46,Ses05F_impro02_F003,xxx,1.5,2.5,2.0
28.8,31.1014,Ses05F_impro02_F004,sad,1.5,2.0,1.5
33.64,37.13,Ses05F_impro02_F005,sad,1.5,2.0,2.0
40.92,42.29,Ses05F_impro02_F006,fea,1.5,1.5,2.5
44.49,47.65,Ses05F_impro02_F007,xxx,1.5,2.5,1.5
51.74,54.42,Ses05F_impro02_F008,sad,1.5,3.5,1.5
61.57,65.73,Ses05F_impro02_F009,sad,1.0,3.0,1.5
68.83,79.79,Ses05F_impro02_F010,sad,2.0,2.5,2.0
83.05,85.3,Ses05F_impro02_F011,sad,2.0,2.5,1.5
88.33,93.3,Ses05F_impro02_F012,sad,1.5,2.5,2.0
97.74,103.85,Ses05F_impro02_F013,fru,2.0,2.5,1.5
106.68,109.98,Ses05F_impro02_F014,fru,1.5,3.0,2.5
117.36,121.02,Ses05F_impro02_F015,xxx,1.5,3.5,1.5
125.21,130.26,Ses05F_impro02_F016,xxx,1.5,3.0,1.5
133.58,138.14,Ses05F_impro02_F017,fru,1.5,2.5,2.0
140.62,144.2,Ses05F_impro02_F018,fru,2.0,3.5,2.5
145.0128,148.8,Ses05F_impro02_F019,xxx,2.5,2.0,2.5
156.43,158.23,Ses05F_impro02_F020,fru,2.0,1.5,1.0
164.25,167.39,Ses05F_impro02_F021,sad,1.5,3.5,1.5
169.17,182.02,Ses05F_impro02_F022,xxx,1.5,3.5,2.5
183.02,188.9,Ses05F_impro02_F023,sad,1.0,3.5,2.0
199.56,202.78,Ses05F_impro02_F024,sad,1.5,1.5,1.5
205.98,213.17,Ses05F_impro02_F025,fru,1.5,3.5,3.0
223.63,233.5,Ses05F_impro02_F026,fru,2.0,3.0,3.5
238.65,240.41,Ses05F_impro02_F027,sad,1.5,3.0,2.0
246.35,248.2,Ses05F_impro02_F028,sad,1.5,3.5,2.0
252.21,262.69,Ses05F_impro02_F029,sad,2.0,2.5,2.5
265.5084,269.0981,Ses05F_impro02_F030,xxx,2.0,2.5,2.0
285.79,289.17,Ses05F_impro02_F031,sad,1.0,4.0,1.5
291.05,294.92,Ses05F_impro02_F032,sad,1.0,3.0,2.0
298.02,301.28,Ses05F_impro02_F033,xxx,1.5,2.5,2.5
307.54,310.21,Ses05F_impro02_F034,sad,2.5,2.0,2.0
311.9,316.1,Ses05F_impro02_F035,sad,2.0,2.0,1.5
318.97,320.71,Ses05F_impro02_F036,sad,2.0,1.0,1.0
328.2,329.4,Ses05F_impro02_F037,sad,2.0,1.0,1.0
335.2658,343.4,Ses05F_impro02_F038,sad,1.5,3.5,1.5
7.6018,10.43,Ses05F_impro02_M000,neu,3.0,2.5,1.5
15.54,18.22,Ses05F_impro02_M001,xxx,2.5,2.5,1.5
23.28,24.81,Ses05F_impro02_M002,xxx,2.5,3.0,1.5
31.56,33.26,Ses05F_impro02_M003,xxx,2.5,3.0,1.5
38.49,40.68,Ses05F_impro02_M004,ang,1.5,2.5,1.0
41.89,44.97,Ses05F_impro02_M005,ang,1.5,2.5,2.0
50.1,52.32,Ses05F_impro02_M006,fru,1.5,3.0,1.0
54.18,59.57,Ses05F_impro02_M007,xxx,1.5,3.5,2.0
60.35,61.9,Ses05F_impro02_M008,fru,1.5,3.0,1.5
65.14,69.66,Ses05F_impro02_M009,xxx,1.5,3.0,1.5
80.46,83.44,Ses05F_impro02_M010,ang,2.0,3.5,2.5
85.67,90.17,Ses05F_impro02_M011,xxx,1.5,3.5,2.0
94.97,97.46,Ses05F_impro02_M012,xxx,1.5,3.0,2.0
99.33,103.4,Ses05F_impro02_M013,xxx,1.5,3.5,3.0
103.9163,108.13,Ses05F_impro02_M014,ang,1.5,3.5,2.5
109.4,116.86,Ses05F_impro02_M015,ang,1.5,4.0,3.5
120.58,125.54,Ses05F_impro02_M016,fru,1.5,2.5,2.0
127.37,131.84,Ses05F_impro02_M017,xxx,1.5,4.0,3.0
131.93,136.21,Ses05F_impro02_M018,xxx,1.5,3.5,2.5
137.69,141.91,Ses05F_impro02_M019,sur,1.5,4.0,2.5
142.8,146.95,Ses05F_impro02_M020,xxx,1.5,3.0,2.0
147.83,150.66,Ses05F_impro02_M021,xxx,1.5,2.5,2.0
151.67,156.68,Ses05F_impro02_M022,xxx,1.5,3.5,1.0
159.17,166.01,Ses05F_impro02_M023,xxx,1.5,3.5,2.0
166.05,169.52,Ses05F_impro02_M024,sad,1.5,3.5,1.5
181.75,183.73,Ses05F_impro02_M025,sad,1.0,3.5,1.0
189.28,200.16,Ses05F_impro02_M026,sad,1.5,3.5,1.5
203.43,207.0,Ses05F_impro02_M027,xxx,1.5,3.5,3.0
212.6,224.55,Ses05F_impro02_M028,xxx,1.5,4.0,1.5
233.41,240.23,Ses05F_impro02_M029,sad,1.5,3.0,1.0
240.53,247.47,Ses05F_impro02_M030,xxx,1.5,3.5,1.5
249.9654,252.0563,Ses05F_impro02_M031,sad,1.5,1.5,1.0
262.98,264.82,Ses05F_impro02_M032,sad,1.5,3.5,1.0
269.52,278.85,Ses05F_impro02_M033,sad,1.5,3.0,1.0
280.43,286.69,Ses05F_impro02_M034,sad,2.0,2.5,1.5
289.05,291.18,Ses05F_impro02_M035,sad,1.5,3.5,1.5
293.41,299.99,Ses05F_impro02_M036,sad,1.5,3.0,2.0
301.19,307.92,Ses05F_impro02_M037,xxx,2.0,3.0,2.5
309.81,312.18,Ses05F_impro02_M038,xxx,1.5,3.0,1.5
315.41,319.41,Ses05F_impro02_M039,sur,1.5,4.0,1.0
320.35,328.82,Ses05F_impro02_M040,xxx,1.5,2.0,2.5
332.823,335.1399,Ses05F_impro02_M041,sad,2.0,2.5,2.0
2.8098,4.5479,Ses05F_impro03_F000,exc,4.0,3.0,3.5
7.96,9.84,Ses05F_impro03_F001,exc,4.5,3.0,3.5
10.2,11.33,Ses05F_impro03_F002,exc,4.5,3.0,4.0
11.58,12.7187,Ses05F_impro03_F003,exc,4.5,3.5,4.0
13.48,14.66,Ses05F_impro03_F004,exc,4.5,3.5,4.0
16.25,18.16,Ses05F_impro03_F005,exc,4.5,3.5,4.0
18.62,20.56,Ses05F_impro03_F006,xxx,4.5,4.0,3.5
24.05,25.76,Ses05F_impro03_F007,exc,4.5,3.0,4.0
26.06,30.77,Ses05F_impro03_F008,exc,4.5,4.0,3.5
30.94,32.47,Ses05F_impro03_F009,exc,4.5,4.0,4.0
33.61,37.19,Ses05F_impro03_F010,xxx,4.0,3.5,4.5
40.12,41.87,Ses05F_impro03_F011,exc,4.5,4.5,4.0
45.1,52.26,Ses05F_impro03_F012,xxx,4.0,3.0,3.5
55.21,57.12,Ses05F_impro03_F013,xxx,4.0,3.0,3.5
57.18,61.19,Ses05F_impro03_F014,xxx,4.0,3.0,3.5
62.2,69.39,Ses05F_impro03_F015,xxx,4.0,3.0,3.5
69.55,74.31,Ses05F_impro03_F016,xxx,4.0,3.0,4.0
74.8,76.05,Ses05F_impro03_F017,xxx,4.0,3.5,3.0
78.35,81.1,Ses05F_impro03_F018,xxx,4.0,3.0,3.5
87.19,89.48,Ses05F_impro03_F019,xxx,4.0,3.0,3.5
89.88,93.05,Ses05F_impro03_F020,exc,4.5,3.5,4.5
93.16,95.47,Ses05F_impro03_F021,xxx,4.0,3.0,3.5
95.63,97.48,Ses05F_impro03_F022,xxx,4.0,2.5,3.0
98.52,100.2,Ses05F_impro03_F023,xxx,4.0,3.0,3.5
100.44,103.99,Ses05F_impro03_F024,xxx,3.0,2.5,3.0
104.86,106.87,Ses05F_impro03_F025,xxx,3.5,2.5,2.5
106.93,108.2,Ses05F_impro03_F026,xxx,4.0,3.0,3.0
110.89,117.44,Ses05F_impro03_F027,hap,4.5,3.0,4.0
120.49,121.75,Ses05F_impro03_F028,hap,4.5,4.5,3.5
123.75,129.86,Ses05F_impro03_F029,hap,4.0,3.5,4.0
129.89,132.45,Ses05F_impro03_F030,hap,4.0,3.5,4.0
132.61,133.91,Ses05F_impro03_F031,hap,4.0,2.0,3.0
136.47,137.56,Ses05F_impro03_F032,hap,4.0,3.0,3.0
138.44,140.43,Ses05F_impro03_F033,hap,4.0,3.0,4.0
147.11,150.05,Ses05F_impro03_F034,hap,4.0,3.5,3.5
158.06,159.28,Ses05F_impro03_F035,hap,4.5,3.0,3.0
165.32,167.36,Ses05F_impro03_F036,hap,5.0,4.5,4.5
167.67,170.06,Ses05F_impro03_F037,exc,4.5,3.5,4.5
180.11,185.5389,Ses05F_impro03_F038,xxx,4.0,3.0,4.0
187.31,189.64,Ses05F_impro03_F039,hap,4.5,4.0,4.0
193.19,194.84,Ses05F_impro03_F040,hap,4.0,3.5,3.0
198.17,199.73,Ses05F_impro03_F041,hap,4.5,4.5,4.0
205.54,207.37,Ses05F_impro03_F042,exc,4.5,3.0,3.5
207.46,209.76,Ses05F_impro03_F043,exc,4.5,3.0,3.5
210.99,212.57,Ses05F_impro03_F044,xxx,3.5,3.0,3.0
212.59,214.37,Ses05F_impro03_F045,xxx,4.0,3.0,3.0
217.48,220.85,Ses05F_impro03_F046,hap,4.0,3.5,3.5
220.88,223.81,Ses05F_impro03_F047,hap,4.0,3.0,3.0
225.08,227.16,Ses05F_impro03_F048,hap,3.5,2.5,3.0
227.17,228.5596,Ses05F_impro03_F049,hap,4.0,2.5,3.0
